Year,League,Rank,Team,All-Games,Win,Lose,Draw,Win-Prob,Batting-Average,Bats,Points,Hits,Double,Triple,HR,RBI,Steal,Protection-Ratio,Whole-Pitch,Strike-Outs,Lost-Points
1958,central,4,国鉄スワローズ,130,58,68,4,.462,.223,4266,359,953,131,43,59,317,123,3.10,38,687,478
1958,central,6,大洋ホエールズ,130,51,73,6,.415,.215,4382,357,944,144,26,78,340,57,2.75,42,793,436
1958,central,2,大阪タイガース,130,72,58,0,.554,.238,4227,444,1008,168,42,88,409,120,2.55,55,645,387
1958,central,5,広島カープ,130,54,68,8,.446,.222,4363,407,969,162,42,80,381,85,2.92,29,614,459
1958,central,1,読売ジャイアンツ,130,77,52,1,.596,.253,4285,521,1082,190,36,101,483,130,2.37,44,730,370
1959,central,3,中日ドラゴンズ,130,64,61,5,.512,.2374,4288,477,1018,163,27,106,443,131,2.77,34,724,428
1959,central,4,国鉄スワローズ,130,63,65,2,.492,.230,4292,422,987,168,44,62,388,86,3.19,43,739,491
1959,central,6,大洋ホエールズ,130,49,77,4,.392,.214,4233,352,906,140,28,73,330,81,3.47,49,742,514
1959,central,2,大阪タイガース,130,62,59,9,.512,.2369,4355,388,1032,176,40,76,360,81,2.37,49,805,362
1959,central,5,広島カープ,130,59,64,7,.481,.218,4252,401,926,164,30,71,376,82,2.62,39,707,414
1959,central,1,読売ジャイアンツ,130,77,48,5,.612,.245,4310,551,1055,137,49,117,509,119,2.54,49,723,382
1960,central,5,中日ドラゴンズ,130,63,67,0,.485,.2295,4209,436,966,161,35,87,401,160,3.08,34,688,454
1960,central,6,国鉄スワローズ,130,54,72,4,.431,.232,4315,388,1000,161,27,73,361,107,3.0854,42,756,461
1960,central,1,大洋ホエールズ,130,70,56,4,.554,.2302,4156,411,957,169,35,60,381,149,2.32,29,836,361
1960,central,3,大阪タイガース,130,64,62,4,.508,.242,4250,436,1028,179,47,87,400,115,2.62,42,717,403
1960,central,4,広島カープ,130,62,61,7,.504,.2296,4289,426,985,152,36,84,381,97,2.70,32,612,403
1960,central,2,読売ジャイアンツ,130,66,61,3,.519,.229,4218,444,967,153,34,106,416,99,3.0852,41,693,459
1961,central,2,中日ドラゴンズ,130,72,56,2,.562,.241,4251,427,1024,156,30,79,389,88,2.48,43,747,385
1961,central,3,国鉄スワローズ,130,67,60,3,.527,.2274,4304,387,979,151,23,58,363,67,2.29,49,638,361
1961,central,6,大洋ホエールズ,130,50,75,5,.404,.236,4295,418,1012,151,23,76,395,119,3.10,21,713,485
1961,central,5,広島カープ,130,58,67,5,.465,.239,4298,417,1026,174,25,74,396,49,3.11,30,602,464
1961,central,1,読売ジャイアンツ,130,71,53,6,.569,.2265,4228,435,958,165,30,89,406,78,2.50,23,675,383
1961,central,4,阪神タイガース,130,60,67,3,.473,.244,4322,405,1053,164,30,80,382,103,2.60,47,712,411
1962,central,3,中日ドラゴンズ,133,70,60,3,.538,.249,4504,469,1123,158,26,107,438,68,2.68,50,645,407
1962,central,6,国鉄スワローズ,134,51,79,4,.392,.201,4409,313,886,138,18,60,294,54,2.61,51,737,421
1962,central,2,大洋ホエールズ,134,71,59,4,.546,.242,4466,428,1079,173,18,100,401,61,2.73,26,915,438
1962,central,5,広島カープ,134,56,74,4,.431,.239,4477,436,1068,154,28,75,406,66,3.30,37,634,493
1962,central,4,読売ジャイアンツ,134,67,63,4,.515,.232,4521,452,1050,188,30,102,428,85,2.47,34,754,395
1962,central,1,阪神タイガース,133,75,55,3,.577,.223,4359,386,970,155,26,64,355,68,2.03,54,825,330
1963,central,2,中日ドラゴンズ,140,80,57,3,.584,.246,4666,529,1149,177,18,120,494,116,2.84,44,519,461
1963,central,4,国鉄スワローズ,140,65,73,2,.471,.241,4620,472,1113,168,24,95,449,101,3.15,41,727,489
1963,central,5,大洋ホエールズ,140,59,79,2,.428,.237,4532,448,1072,170,11,110,427,73,3.29,34,649,540
1963,central,6,広島カープ,140,58,80,2,.420,.253,4755,515,1205,187,20,92,487,76,3.83,38,568,604
1963,central,1,読売ジャイアンツ,140,83,55,2,.601,.247,4616,611,1140,161,31,143,568,153,2.57,52,614,432
1963,central,3,阪神タイガース,140,69,70,1,.496,.239,4614,472,1103,180,25,95,454,79,3.20,46,595,521
1964,central,6,中日ドラゴンズ,140,57,83,0,.407,.254,4749,492,1204,199,25,114,472,111,3.63,38,561,596
1964,central,5,国鉄スワローズ,140,61,74,5,.452,.2424,4694,486,1138,167,15,117,456,101,3.43,45,676,545
1964,central,2,大洋ホエールズ,140,80,58,2,.580,.255,4718,556,1204,197,16,134,535,71,3.03,36,690,496
1964,central,4,広島カープ,140,64,73,3,.467,.2420,4676,465,1132,159,20,98,452,116,3.30,37,580,508
1964,central,3,読売ジャイアンツ,140,71,69,0,.507,.235,4576,560,1077,161,22,147,538,128,3.01,48,614,472
1964,central,1,阪神タイガース,140,80,56,4,.588,.240,4579,492,1101,174,19,114,467,97,2.75,60,663,434
1965,central,6,サンケイスワローズ,140,44,91,5,.326,.221,4571,332,1010,139,20,64,316,53,3.42,29,590,533
1965,central,2,中日ドラゴンズ,140,77,59,4,.566,.247,4682,510,1158,161,31,100,478,130,2.60,32,702,431
1965,central,4,大洋ホエールズ,140,68,70,2,.493,.244,4612,518,1127,186,17,136,494,85,2.81,29,729,470
1965,central,5,広島カープ,140,59,77,4,.434,.230,4586,394,1057,142,21,72,363,85,2.84,22,610,451
1965,central,1,読売ジャイアンツ,140,91,47,2,.659,.246,4598,536,1133,143,24,106,504,109,2.54,34,719,404
1965,central,3,阪神タイガース,140,71,66,3,.518,.220,4488,393,989,168,25,94,376,86,2.47,60,669,394
1966,central,6,サンケイアトムズ,135,52,78,5,.400,.214,4359,364,935,132,31,86,339,52,3.16,35,549,475
1966,central,2,中日ドラゴンズ,132,76,54,2,.585,.253,4435,521,1124,177,26,123,497,80,2.54,36,639,400
1966,central,5,大洋ホエールズ,130,52,78,0,.400,.247,4347,428,1072,177,17,116,410,59,3.74,25,583,557
1966,central,4,広島カープ,136,57,73,6,.438,.234,4465,420,1044,136,20,78,395,44,3.45,35,636,512
1966,central,1,読売ジャイアンツ,134,89,41,4,.685,.243,4352,559,1058,152,27,114,529,148,2.24,54,638,335
1966,central,3,阪神タイガース,135,64,66,5,.492,.233,4401,386,1024,157,20,81,365,48,2.52,54,672,399
1967,central,5,サンケイアトムズ,135,58,72,5,.446,.240,4500,503,1082,177,28,120,474,46,3.68,29,630,548
1967,central,2,中日ドラゴンズ,134,72,58,4,.554,.248,4495,541,1115,197,24,148,516,67,3.31,34,666,521
1967,central,4,大洋ホエールズ,135,59,71,5,.454,.2449,4429,477,1085,194,11,130,445,51,3.28,23,725,511
1967,central,6,広島カープ,138,47,83,8,.362,.225,4596,422,1035,148,17,82,399,66,3.41,28,682,536
1967,central,1,読売ジャイアンツ,134,84,46,4,.646,.265,4434,595,1175,165,23,162,555,125,2.87,51,726,430
1967,central,3,阪神タイガース,136,70,60,6,.538,.2446,4476,429,1095,158,29,101,406,41,2.60,46,862,421
1968,central,4,サンケイアトムズ,134,64,66,4,.492,.239,4479,497,1069,153,24,130,477,67,3.28,28,701,497
1968,central,6,中日ドラゴンズ,134,50,80,4,.385,.246,4610,499,1134,187,16,142,474,57,3.72,32,805,579
1968,central,5,大洋ホエールズ,133,59,71,3,.454,.236,4418,483,1044,166,23,131,455,63,3.71,22,756,558
1968,central,3,広島東洋カープ,134,68,62,4,.523,.224,4318,420,966,151,11,112,402,104,2.91,47,841,449
1968,central,1,読売ジャイアンツ,134,77,53,4,.592,.262,4529,652,1186,189,36,177,628,133,3.35,39,728,496
1968,central,2,阪神タイガース,133,72,58,3,.554,.229,4419,447,1014,174,22,119,432,34,2.67,64,987,419
1969,central,5,アトムズ,130,58,69,3,.457,.244,4304,495,1050,175,9,139,475,45,3.71,22,694,569
1969,central,4,中日ドラゴンズ,130,59,65,6,.476,.231,4356,463,1008,163,23,145,438,56,3.11,27,741,470
1969,central,3,大洋ホエールズ,130,61,61,8,.500,.239,4331,444,1034,175,15,125,424,39,3.19,28,827,470
1969,central,6,広島東洋カープ,130,56,70,4,.444,.221,4235,414,938,117,6,121,383,101,3.24,33,734,483
1969,central,1,読売ジャイアンツ,130,73,51,6,.589,.263,4425,599,1163,181,15,147,570,89,3.30,48,805,472
1969,central,2,阪神タイガース,130,68,59,3,.535,.222,4283,402,952,141,14,114,385,34,2.41,47,847,353
1970,central,6,ヤクルトアトムズ,130,33,92,5,.264,.215,4214,336,907,130,23,69,319,62,3.78,16,614,552
1970,central,5,中日ドラゴンズ,130,55,70,5,.440,.234,4246,435,994,141,22,118,407,55,3.20,34,642,462
1970,central,3,大洋ホエールズ,130,69,57,4,.548,.241,4195,436,1011,155,17,106,408,54,2.75,36,736,399
1970,central,4,広島東洋カープ,130,62,60,8,.508,.226,4175,393,945,117,14,108,377,109,3.00,40,702,421
1970,central,1,読売ジャイアンツ,130,79,47,4,.627,.240,4261,499,1023,164,17,131,474,77,2.46,52,839,365
1970,central,2,阪神タイガース,130,77,49,4,.611,.245,4300,435,1053,173,20,110,411,54,2.36,54,878,335
1971,central,6,ヤクルトアトムズ,130,52,72,6,.419,.234,4241,427,993,168,22,94,403,81,3.03,37,618,451
1971,central,2,中日ドラゴンズ,130,65,60,5,.520,.226,4218,437,954,146,16,127,420,104,2.97,25,590,425
1971,central,3,大洋ホエールズ,130,61,59,10,.5083,.216,4166,363,898,121,13,82,338,78,2.31,22,682,354
1971,central,4,広島東洋カープ,130,63,61,6,.5080,.233,4189,422,976,139,10,89,400,104,3.11,27,645,444
1971,central,1,読売ジャイアンツ,130,70,52,8,.574,.253,4261,538,1077,178,25,123,511,149,2.94,43,755,434
1971,central,5,阪神タイガース,130,57,64,9,.471,.220,4170,333,919,108,10,101,320,68,2.76,40,726,412
1972,central,4,ヤクルトアトムズ,130,60,67,3,.472,.2536,4313,530,1094,196,27,115,499,102,3.73,34,618,543
1972,central,3,中日ドラゴンズ,130,67,59,4,.532,.232,4256,452,988,140,20,123,429,55,3.29,30,591,491
1972,central,5,大洋ホエールズ,130,57,69,4,.452,.242,4274,481,1036,150,15,135,466,44,3.66,27,632,523
1972,central,6,広島東洋カープ,130,49,75,6,.395,.250,4372,482,1092,171,9,117,469,73,3.57,40,700,522
1972,central,1,読売ジャイアンツ,130,74,52,4,.587,.2544,4311,587,1097,138,17,158,562,102,3.43,52,741,492
1972,central,2,阪神タイガース,130,71,56,3,.559,.239,4317,470,1032,168,18,125,449,45,3.00,35,692,431
1973,central,4,ヤクルトアトムズ,130,62,65,3,.488,.228,4189,377,957,148,16,78,359,60,2.60,33,720,406
1973,central,3,中日ドラゴンズ,130,64,61,5,.512,.242,4248,441,1027,152,10,108,419,82,2.98,45,546,433
1973,central,5,大洋ホエールズ,130,60,64,6,.484,.243,4318,423,1049,140,9,125,399,45,3.30,36,599,480
1973,central,6,広島東洋カープ,130,60,67,3,.472,.223,4198,390,938,135,18,104,365,59,3.04,31,700,436
1973,central,1,読売ジャイアンツ,130,66,60,4,.524,.253,4318,565,1094,150,17,149,540,77,3.25,53,768,470
1973,central,2,阪神タイガース,130,64,59,7,.520,.234,4263,433,998,135,11,115,417,41,2.82,46,679,404
1974,central,3,ヤクルトスワローズ,130,60,63,7,.488,.233,4225,453,986,167,17,111,426,94,3.14,42,646,458
1974,central,1,中日ドラゴンズ,130,70,49,11,.588,.264,4310,561,1137,186,13,150,538,61,3.75,31,633,537
1974,central,5,大洋ホエールズ,130,55,69,6,.444,.265,4354,528,1155,149,18,143,501,76,4.28,28,641,596
1974,central,6,広島東洋カープ,130,54,72,4,.429,.242,4235,448,1025,146,12,127,429,49,3.61,40,746,487
1974,central,2,読売ジャイアンツ,130,71,50,9,.587,.253,4222,589,1070,157,22,159,570,64,3.05,41,624,460
